,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
,MSFT,MSFT,MSFT,MSFT,MSFT,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,,,,,
2023-06-09,321.2442571905946,326.1866287534683,320.6709553622718,323.0235290527344,22514900,180.13427291189814,180.85877566456503,179.2708242183914,179.5983428955078,48870700
2023-06-12,324.7929074196747,328.27235663889024,321.41234184018543,328.0252380371094,24260300,179.90600135310552,182.5062817855448,179.60825573516888,182.4070281982422,54274900
2023-06-13,330.6149603490119,333.0960401950641,326.581998965656,330.4370422363281,22951300,181.42450705779416,182.76433976812353,181.06721530624512,181.9306640625,54929100
2023-06-14,330.4864815075517,335.13232261049444,328.97411709163043,333.451904296875,26003800,181.9902041416917,183.00253326157815,180.6503714756975,182.5658416748047,57462900
2023-06-15,333.5902989724616,345.80782615776803,333.31352739056973,344.087890625,38899100,182.57577393042644,185.1165084295681,182.39712049072034,184.61033630371094,65433200
2023-06-16,347.270835349067,347.4191004767098,338.0088349968938,338.3844299316406,46533600,185.32491183758503,185.58296511233405,182.88343103661734,183.52853393554688,101235600
2023-06-20,335.39920428223814,338.1372671679203,331.9889559626245,334.1537170410156,26375400,183.0223827636369,184.69966852666565,183.0223827636369,183.61785888671875,49799100
2023-06-21,332.4930949848668,333.83743571716536,328.2426675673344,329.7154846191406,25117800,183.50867393361597,184.01484602054117,181.21605845086614,182.5757598876953,49515700
2023-06-22,330.2690186262127,336.1998642526837,329.4980099014051,335.7945861816406,23556800,182.35741623768828,185.64250704259015,182.28793569790065,185.59288024902344,51245300
2023-06-23,330.5062337501413,334.06474706177283,329.6067487340244,331.15863037109375,23084700,184.1537970097952,186.14866693334577,183.61785186115858,185.27528381347656,53079300
2023-06-26,329.8736360460797,332.236073875563,324.70390473147376,324.8126525878906,21520600,185.42415928991971,186.6349803489813,183.83619277653602,183.8759002685547,48088700
2023-06-27,328.03508000658053,332.27564337179473,325.5045881093416,330.7138671875,24354100,184.491243018021,186.9724314039452,184.2728972285419,186.64491271972656,50730800
2023-06-28,330.8028086437021,334.084550517697,329.96259946623746,331.9790954589844,20259500,186.5158835329519,188.47106116590345,186.18837999717346,187.82595825195312,51216800
2023-06-29,330.8522158237522,332.2360737742662,328.7863082108704,331.18829345703125,16997000,187.6572341550609,188.63979016757608,187.51828821688443,188.16339111328125,46347300
2023-06-30,333.85719948758003,338.7798124300312,333.3135506813242,336.61505126953125,26823800,190.18806349655458,193.01660926668555,189.82083730500045,192.5104522705078,85069600
2023-07-03,335.28060262151536,336.9708852401349,332.6908047635794,334.09442138671875,12508700,192.32186987463191,192.42112346606635,190.31706545063716,191.01181030273438,31458200
2023-07-05,331.22786490930497,337.71225420438924,330.8720286244269,334.2525939941406,18172400,190.12850409377413,191.5278827838796,189.18564042572623,189.8903045654297,46920300
2023-07-06,333.4123647627666,339.03678586609493,331.6331231134423,337.33660888671875,28161200,188.41152151886186,190.57512571080738,187.7763378847441,190.36669921875,45094300
2023-07-07,335.40908439573553,337.8506169608955,333.1158169325409,333.3332824707031,21185300,189.96969607727493,191.2202094723073,188.80850182246542,189.24517822265625,46778000
2023-07-10,330.74349462758727,331.3662382401782,323.81428038681094,328.0054016113281,32791400,187.83586826290198,188.56038612953148,185.63257190372127,187.19076538085938,59922200
2023-07-11,327.2443090989925,329.0235508256902,323.2311057346372,328.6380615234375,26698200,187.7366242460387,187.87557017699805,185.19588999765614,186.6647491455078,46638100
2023-07-12,332.7204469994857,337.71223002191914,331.8011731635339,333.31353759765625,29995300,188.25270672963643,190.2575110663078,187.05182010303508,188.342041015625,60750200
2023-07-13,335.64629525130016,339.77811014672653,335.1125107395489,338.7105712890625,20567200,189.06655459750118,189.75136501356704,188.35197113238655,189.1062469482422,41342300
2023-07-14,343.583754215455,347.37949164129134,340.3415599455214,341.2608337402344,28302200,188.79858162868422,189.74143018258206,188.203105504946,189.255126953125,41573900
2023-07-17,341.69579744205475,342.9906963945975,338.25592609703426,341.7452392578125,20363900,190.45598871765927,192.85779207747484,190.36666958238524,192.5302734375,50520200
2023-07-18,341.84402665294436,362.55257365392396,338.2262375492029,355.3465881347656,64872700,191.89511697543264,192.8677385882339,190.97210701546965,192.27224731445312,48353800
2023-07-19,357.5805944318739,358.28240277063935,348.377900689894,350.9874572753906,39732900,191.64700719335607,196.73839573453523,191.20038114492507,193.6319580078125,80507300
2023-07-20,349.4948600864259,353.8441409060029,341.3893588854277,342.8720703125,33778400,193.6220163160383,194.99163717283173,191.05150874206208,191.67677307128906,59581200
2023-07-21,345.12576587462695,346.2625051878546,335.91317895795135,339.8077697753906,69368900,192.63949343255948,193.50294223932778,189.7910785557487,190.49574279785156,71917800
2023-07-24,341.8638462386976,342.9215209904844,338.36463873391983,341.1323547363281,26678100,191.95462831821482,193.4433410891444,190.80335347414325,191.29959106445312,45377800
2023-07-25,343.10933217661227,347.83426873576747,341.0928661337009,346.93475341796875,41637700,191.8752747291033,192.9769230508511,191.46835617242775,192.1630859375,37283200
2023-07-26,337.504667075425,340.6974499210077,329.2706592716007,333.876953125,58383700,192.21269689922778,194.16787452666702,191.86533961729995,193.0364532470703,47471900
2023-07-27,336.5557213978174,337.3959003723981,325.25743786483986,326.908203125,39635300,194.54503217158796,195.71614587462116,191.1011413216581,191.76609802246094,47460200
2023-07-28,329.82419070531085,336.0911133446516,329.32995361861987,334.4700012207031,28484900,193.20517029738988,195.15042860374737,192.6791595850325,194.3564453125,48291400
2023-07-31,333.0368142619769,333.8078231015601,329.51781758051146,332.04833984375,25446000,194.58470647584855,195.01147873318087,193.79072320060368,194.97177124023438,38824100
2023-08-01,331.32670053812484,334.6380954513858,329.85388349527227,332.46343994140625,18311900,194.7633716275856,195.24967486566203,193.81058861115622,194.1381072998047,35175100
2023-08-02,329.7846631535933,329.7846631535933,322.59843617417204,323.7253112792969,27761300,193.57238603724957,193.71133198080406,190.40640238454526,191.1309051513672,50389300
2023-08-03,322.24262287118034,326.07790799446406,322.1932112223528,322.89501953125,18253700,190.1285055646349,190.92247371064892,189.2551224312535,189.73150634765625,61235200
2023-08-04,328.05485638688526,331.2772922665629,323.468321143029,324.0021057128906,23727700,184.12404245746146,185.97004732736383,180.5511249208849,180.62060546875,115799700
2023-08-07,324.5852708301054,327.2936805067541,323.7450617202006,326.3052062988281,17741500,180.7595446995356,181.75202007346337,176.01551362367866,177.5042266845703,97576100
2023-08-08,323.1915073052413,324.96088452215395,319.2771580248083,322.2919921875,22327600,178.33789436874574,178.91353187709316,176.2437708178845,178.4470672607422,67823000
2023-08-09,322.70720411911464,323.3398119813317,317.3496601701691,318.5160827636719,22373300,179.50900875402357,179.568554851008,175.67805336031552,176.84918212890625,60378500
2023-08-10,322.2623282499184,324.4765308361969,317.4781170324145,319.20794677734375,20113700,178.12946109590703,179.38990895654987,176.26361784560095,176.63082885742188,54686900
2023-08-11,316.5687639624726,318.6939775064146,315.5308479299618,317.31011962890625,24342600,176.2233960656567,177.5153442624666,175.458153778981,176.6904754638672,51988100
2023-08-14,317.685755554102,320.3249649242418,316.3908265264189,320.3052062988281,18836100,176.86935281922499,178.57871676071744,176.21343092354076,178.3501434326172,43675600
2023-08-15,319.27717416657407,321.3430816736335,317.2013722642117,318.1502990722656,16966300,177.7737337283927,178.37001397078072,175.9550494184861,176.35256958007812,43622600
2023-08-16,317.77393688756257,321.35981544543756,316.7833697149334,317.3777160644531,20698900,176.03454634490478,177.43581469068437,175.40843772025733,175.47801208496094,46964900
2023-08-17,317.51634791131056,318.8337886923034,313.2271759636282,313.890869140625,21257200,176.04450015039933,176.4122070810067,172.40713130392336,172.92391967773438,66062900
2023-08-18,311.5234408357638,315.3767614049802,308.61117111318896,313.49468994140625,24744800,171.23444515927903,174.01713210367805,170.89655146662832,173.41090393066406,61114200
2023-08-21,314.9309977770275,319.72533901894826,314.04940875807927,318.84375,24040000,173.98729066685254,175.0407326935708,172.66551420323125,174.7525177001953,46311900
2023-08-22,322.4295757132843,323.00409130288494,318.42767635532056,319.4182434082031,16102000,175.96496432299716,176.58112506049082,175.15997622029204,176.1339111328125,42084200
2023-08-23,320.76543972560916,326.0946954631443,320.4088198566661,323.9154357910156,21166400,177.41596644953157,180.4272265262981,177.2271390578494,179.9998779296875,52722800
2023-08-24,329.71026061311085,329.8390391710411,316.9418363646179,316.9517517089844,23281400,179.55266206734146,179.98001065949663,174.92147774645116,175.28919982910156,54945800
2023-08-25,318.4376140983813,322.29090448568866,315.7927865800753,319.9333801269531,21684100,176.28301269216934,178.04205535297126,174.73266281139772,177.50540161132812,51449600
